Metric,Spearman_Rho,P_Value,N_samples,Adj_P_Value,Significant
2-down_incidence-2_spectral_gap_mean,0.8571428571428572,0.0065300172547152905,8,0.25467067293389634,False
2-up_incidence-0_spectral_gap_mean,0.8571428571428572,0.0065300172547152905,8,0.25467067293389634,False
down_adjacency-1_clustering_coefficient_mean,0.8333333333333335,0.010175540123456752,8,0.26456404320987553,False
up_adjacency-1_spectral_gap_mean,0.7857142857142858,0.020815127253525273,8,0.3247159851549943,False
2-up_adjacency-0_spectral_gap_mean,0.7857142857142858,0.020815127253525273,8,0.3247159851549943,False
down_incidence-2_spectral_gap_mean,0.6904761904761906,0.057990318164572716,8,0.6461778309766674,False
up_incidence-1_spectral_gap_mean,0.6904761904761906,0.057990318164572716,8,0.6461778309766674,False
up_adjacency-1_spectral_radius_mean,0.6190476190476191,0.10173303745426478,8,0.8655793530969239,False
2-down_adjacency-2_spectral_gap_mean,0.5476190476190477,0.16002564253889653,8,0.8655793530969239,False
up_incidence-1_spectral_radius_mean,0.5000000000000001,0.2070312499999999,8,0.8655793530969239,False
2-down_incidence-2_degree_assortativity_mean,0.5000000000000001,0.2070312499999999,8,0.8655793530969239,False
2-up_incidence-0_spectral_radius_mean,0.5000000000000001,0.2070312499999999,8,0.8655793530969239,False
down_incidence-2_degree_assortativity_mean,0.5000000000000001,0.2070312499999999,8,0.8655793530969239,False
2-up_adjacency-0_spectral_radius_mean,0.5000000000000001,0.2070312499999999,8,0.8655793530969239,False
2-up_incidence-0_degree_assortativity_mean,0.5000000000000001,0.2070312499999999,8,0.8655793530969239,False
up_incidence-1_degree_assortativity_mean,0.5000000000000001,0.2070312499999999,8,0.8655793530969239,False
down_adjacency-2_clustering_coefficient_mean,0.5000000000000001,0.2070312499999999,8,0.8655793530969239,False
down_adjacency-2_degree_assortativity_mean,-0.4761904761904762,0.23293553465009798,8,0.8655793530969239,False
down_adjacency-2_spectral_radius_mean,0.4523809523809524,0.2604047674368853,8,0.8655793530969239,False
2-down_adjacency-2_clustering_coefficient_mean,0.4285714285714286,0.2894032248467901,8,0.8655793530969239,False
